Add New Quote,Ajouter un nouveau devis
Manage Quotations,Gérer les devis
Manage Custom Fields,Gérer les champs personnalisés
Manage Quotation Rules,Gérer les règles de devis
Settings,Paramètres
Guide,Guide
Get Support,Obtenir de l'aide
Submit Quote,Envoyer un devis
Are you sure you want to cancel this order?,Êtes-vous sûr de vouloir annuler cette commande ?
Cancel,Annuler
Create New Quote for %1 in %2,Créer un nouveau devis pour %1 en %2
Create New Quote in %1,Créer un nouveau devis dans %1
Create New Quote for %1,Créer un nouveau devis pour %1
Create New Quote for New Customer,Créer un nouveau devis pour un nouveau client
You created the order.,Vous avez créé la commande.
Order saving error: %1,Erreur d'enregistrement de commande: %1
Delete,Effacer
Are you sure you want to send a confirmation email to customer?,Êtes-vous sûr de vouloir envoyer un e-mail de confirmation au client?
Send Email,Envoyer un email
Create Order,Créer une commande
Save Quote,Enregistrer le devis
Save Quote & Send Update Email,Enregistrer un devis et envoyer un e-mail de mise à jour
Send an email contains a purchase link to customer email. Customer click and redirect to site.,Envoyer un e-mail contient un lien d'achat vers un e-mail client. Le client clique et redirige vers le site.
Accept Request,Accepter la requête
Order # %1 %2 | %3,Commande # %1 %2 | %3
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Cette commande contient (%1) éléments et ne peut donc pas être modifiée via l'interface d'administration. Si vous souhaitez continuer à modifier, les éléments (%2) seront supprimés, la commande sera annulée et une nouvelle commande sera passée."
Are you sure? This order will be canceled and a new one will be created instead.,Êtes-vous sûr ? Cette commande sera annulée et une nouvelle sera créée à la place.
Please correct the parent block for this block.,Veuillez corriger le bloc parent pour ce bloc.
 [deleted],[supprimé]
Edit,modifier
Invalid parent block for this block,Bloc parent invalide pour ce bloc
Information,Information
Order Information,Informations sur la commande
Form Information,Informations sur le formulaire
Invalid method: %1,Méthode non valide: %1
My Orders,Mes commandes
"<img src=""%1"" alt=""rfq-icon""/>","<img src = ""%1"" alt = ""rfq-icon"" />"
You sent the confirmation email.,Vous avez envoyé l'email de confirmation.
Something went wrong while processing your quote. Please try again later.,Une erreur s'est produite lors du traitement de votre devis. Veuillez réessayer plus tard.
Quotations,Devis
New Quote,Nouveau Devis
You created the quote.,Nous devis créé.
Quote saving error: %1,Erreur d'enregistrement de devis: %1
