Add New Quote,Aggiungi un nuovo preventivo
Manage Quotations,Gestisci le preventivi
Manage Custom Fields,Gestisci campi personalizzati
Manage Quotation Rules,Gestisci le regole di offerta
Settings,Impostazioni
Guide,Guida
Get Support,Ottenere supporto
Submit Quote,Invia preventivo
Are you sure you want to cancel this order?,Sei sicuro di voler cancellare questo ordine?
Cancel,Annulla
Create New Quote for %1 in %2,Crea nuovo preventivo per%1 in%2
Create New Quote in %1,Crea nuovo preventivo in%1
Create New Quote for %1,Crea nuovo preventivo per%1
Create New Quote for New Customer,Crea un nuovo preventivo per un nuovo cliente
You created the order.,Hai creato l'ordine.
Order saving error: %1,Errore di salvataggio dell'ordine:%1
Delete,Elimina
Are you sure you want to send a confirmation email to customer?,Sei sicuro di voler inviare un'email di conferma al cliente?
Send Email,Invia una email
Create Order,Crea ordine
Save Quote,Salva preventivo
Save Quote & Send Update Email,Salva preventivo e invia e-mail di aggiornamento
Send an email contains a purchase link to customer email. Customer click and redirect to site.,Invia un'e-mail contiene un link di acquisto all'email del cliente. Clic del cliente e reindirizzamento al sito.
Accept Request,Richiesta accettata
Order # %1 %2 | %3,Ordine n.%1%2 | 3%
This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing  the (%2) items will be removed   the order will be canceled and a new order will be placed.,Questo ordine contiene (%1) articoli e pertanto non può essere modificato tramite l'interfaccia di amministrazione. Se desideri continuare a modificare gli articoli (%2) verranno rimossi, l'ordine verrà annullato e verrà inserito un nuovo ordine.
Are you sure? This order will be canceled and a new one will be created instead.,Sei sicuro? Questo ordine verrà annullato e verrà invece creato uno nuovo.
Please correct the parent block for this block.,Correggi il blocco genitore per questo blocco.
 [deleted], [cancellato]
Edit,Modifica
Invalid parent block for this block,Blocco genitore non valido per questo blocco
Information,Informazione
Order Information,Informazioni sull'ordine
Form Information,Informazioni sul modulo
Invalid method: %1,Metodo non valido:%1
My Orders,i miei ordini
You sent the confirmation email.,Hai inviato l'email di conferma.
Something went wrong while processing your quote. Please try again later.,Qualcosa è andato storto durante l'elaborazione del preventivo. Per favore riprova più tardi.
Quotations,Preventivi
New Quote,Nuova preventivo
You created the quote.,Hai creato la preventivo.
Quote saving error: %1,Errore di salvataggio preventivo:%1
We can't find a quote to delete.,Non possiamo trovare un preventivo da eliminare.
You deleted the quote.,Hai cancellato la preventivo.
This quote no longer exists.,Questa preventivo non esiste più.
RequestForQuote,Richiesta di preventivo
Quote,Preventivo
Edit Quote,Modifica preventivo
You saved the quote,Hai salvato la preventivo
We can't find a quote.,Non possiamo trovare una preventivo.
A total of %1 record(s) have been deleted.,Un totale di%1 record (s) sono stati cancellati.
Quantity was recalculated from %1 to %2,La quantità è stata ricalcolata da%1 a%2
We adjusted product quantities to fit the required increments.,Abbiamo adattato le quantità di prodotto per adattarle agli incrementi richiesti.
We can't find the quote.,Non possiamo trovare la preventivo.
You added %1 to your quote.,Hai aggiunto%1 alla tua offerta.
We can't add this item to your quote.,Non possiamo aggiungere questo articolo al tuo preventivo.
Out of stock,Esaurito
We can't remove the item.,Non possiamo rimuovere l'oggetto.
Please enter your email.,Per favore inserisci la tua email
Success Page,Pagina di successo
We can't update the shopping cart.,Non possiamo aggiornare il carrello della spesa.
We can't mote to the shopping cart.,Non possiamo passare al carrello della spesa.
Page not found.,Pagina non trovata.
My Quotes,Le mie preventivi
Quote # %1,Preventivo #%1
We can't send the email quote right now.,Non possiamo inviare l'e-mail al momento.
The product does not exist.,Il prodotto non esiste.
%1 (Default),%1 (predefinito)
Pending,in attesa di
Ordered,Ordinato
Cancelled,Annullato
Reviewed,Rivisto
Expired,Scaduto
View,vista
Address Information,Informazioni sull'indirizzo
"Payment &amp, Shipping Information","Pagamento &amp, Informazioni sulla spedizione"
Order Total,Ordine totale
Order History,Cronologia ordini
Order Currency:,Valuta dell'ordine:
Email,E-mail
Remarks,Osservazioni
Product,Prodotto
Price,Prezzo
Qty,Quantità
Subtotal,totale parziale
Discount,Sconto
Row Subtotal,Totale parziale riga
Action,Azione
No ordered items,Nessun articolo ordinato
Update Items and Quantities,Aggiorna articoli e quantità
Total %1 product(s),Totale%1 prodotto/i
Subtotal:,Totale parziale:
SKU,SKU
Tier Pricing,Prezzi di punta
Custom Price,Prezzo personalizzato
Apply,Applicare
Please select,Per favore seleziona
Remove,Rimuovere
Quote & Account Information,Quote e informazioni sull'account
Quote Date,Data di preventivo
Quote Date (%1),Data di preventivo (%1)
Quote Status,Stato preventivo
Purchased From,Comprato da
Link to the New Order,Link al nuovo ordine
Link to the Previous Order,Link all'ordine precedente
Placed from IP,Posto da IP
Expiry Date,Data di scadenza
Select Date,Seleziona la data
Account Information,Informazioni account
Customer Name,Nome del cliente
Customer Group,Gruppo di clienti
Company,Azienda
Telephone,Telefono
Address,Indirizzo
Tax Code,Codice Fiscale
Edit Info,Modifica informazioni
Get Customer Address,Ottieni l'indirizzo del cliente
Loading...,Caricamento in corso...
Edit Information,Modifica informazioni
First Name,Nome di battesimo
Last Name,Cognome
Street,strada
Region,Regione
Region Id,Regione Id
Post Code,Codice postale
Country,Nazione
Reset Default,Ripristina predefinito
Close Form,Chiudi modulo
Comment: ,Commento:
Quote Totals,Preventivo Totali
Quote Subtotal,Preventivo Totale parziale
Coupon Code,codice coupon
Tax,Imposta
Shipping Fee,Tassa di spedizione
Shipping Note,Nota di spedizione
Quote Total,Totale preventivo
Have a error when get customer address info.,Hai un errore quando ottieni informazioni sull'indirizzo del cliente.
Image,Immagine
Note: ,Nota:
Items,Elementi
"You have added <a href=""%1"" title=""%2"">%3</a> to your quote.","Hai aggiunto <a href=""%1"" title=""%2"">%3 </a> alla tua offerta."
Submit Your Quote,Invia il tuo preventivo
