"Gift Card","Gift Card"
#,#
Date,Date
Action,Action
Balance,Balance
"Amount Change","Amount Change"
Detail,Detail
Print,Print
"Save and Send","Save and Send"
"Save and Continue Edit","Save and Continue Edit"
"Edit Gift Card '%1'","Edit Gift Card '%1'"
"New Gift Card","New Gift Card"
"Created At","Created At"
Status,Status
History,History
"Gift Card Information","Gift Card Information"
"Gift Code","Gift Code"
"Code Pattern","Code Pattern"
"Is Redeemable","Is Redeemable"
Store,Store
"Expires At","Expires At"
"Order: %1","Order: %1"
"Product: %1","Product: %1"
"Pool: %1","Pool: %1"
"Admin: %1","Admin: %1"
"Created From","Created From"
"Gift Code Information","Gift Code Information"
"Sending Information","Sending Information"
Delivery,Delivery
"Delivery Method","Delivery Method"
"Recipient Email","Recipient Email"
"Phone Number","Phone Number"
"Customer Email","Customer Email"
Address,Address
"Delivery Date","Delivery Date"
Timezone,Timezone
"Delivery Information","Delivery Information"
" (Cancelled)"," (Cancelled)"
" (Used)"," (Used)"
N/A,N/A
"Gift Codes","Gift Codes"
"Edit Gift Code Pool '%1'","Edit Gift Code Pool '%1'"
"New Gift Code Pool","New Gift Code Pool"
"Generate Gift Cards","Generate Gift Cards"
"Pool Information","Pool Information"
"Gift Card Qty","Gift Card Qty"
Generate,Generate
Code,Code
"Created Date","Created Date"
CSV,CSV
"Excel XML","Excel XML"
Delete,Delete
"Are you sure you want to delete the selected code(s)?","Are you sure you want to delete the selected code(s)?"
Name,Name
"Can Inherit","Can Inherit"
"Can Redeem","Can Redeem"
"Gift Code Pool Information","Gift Code Pool Information"
"Edit Template '%1'","Edit Template '%1'"
"New Template","New Template"
Design,Design
Images,Images
"Template Information","Template Information"
"Template Name","Template Name"
"Allow Upload Image","Allow Upload Image"
"Gift Card Title","Gift Card Title"
"Font Family","Font Family"
"Background Image","Background Image"
"Gift Card Note","Gift Card Note"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"Add New Images","Add New Images"
"Gift Cards","Gift Cards"
"Gift Credit","Gift Credit"
Codes,Codes
"This gift code no longer exists.","This gift code no longer exists."
"The gift card was deleted successfully.","The gift card was deleted successfully."
"This code is disabled by Pool ""%1""","This code is disabled by Pool ""%1"""
"Edit Gift Code","Edit Gift Code"
"Create Gift Code","Create Gift Code"
"Manage Gift Codes","Manage Gift Codes"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Gift cards can't print.","Gift cards can't print."
"A total of %1 record(s) have been sent.","A total of %1 record(s) have been sent."
"Something went wrong while updating status for %1.","Something went wrong while updating status for %1."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Gift card is not sent. Please correct the delivery information.","Gift card is not sent. Please correct the delivery information."
"The Gift Card Code has been saved successfully.","The Gift Card Code has been saved successfully."
"Something went wrong while saving gift code.","Something went wrong while saving gift code."
"An error occur. Please try again later.","An error occur. Please try again later."
"Gift Card History","Gift Card History"
Pools,Pools
"This gift card pool no longer exists.","This gift card pool no longer exists."
"Edit Code Pool '#' . . ''","Edit Code Pool '#' . . ''"
"Create New Code Pool","Create New Code Pool"
"Invalid date provided","Invalid date provided"
"%1 code(s) have been generated.","%1 code(s) have been generated."
"Invalid data provided","Invalid data provided"
"Something went wrong while generating gift cards. Please review the log and try again.","Something went wrong while generating gift cards. Please review the log and try again."
"Pool is not defined","Pool is not defined"
"Manage Gift Code Pools","Manage Gift Code Pools"
